atomic-learning.js	200	Verifica daca ai inteles	Verifică dacă ai înțeles
atomic-learning.js	204	Atentie! Raspunsul se blocheaza dupa selectare. Citeste cu atentie inainte de a alege!	Atenție! Răspunsul se blochează după selectare. Citește cu atenție înainte de a alege!
atomic-learning.js	330	Gandeste-te mai bine...	Gândește-te mai bine...
atomic-learning.js	400	Raspunsul corect este marcat cu verde.	Răspunsul corect este marcat cu verde.
atomic-learning.js	542	De ce inveti asta (obiectivele lectiei)	De ce înveți asta (obiectivele lecției)
atomic-learning.js	574	&larr; Inapoi	&larr; Înapoi
atomic-learning.js	575	Urmatorul pas &rarr;	Următorul pas &rarr;
atomic-learning.js	602	'Ai terminat lectia'	'Ai terminat lecția'
atomic-learning.js	613	'Termin lectia →'	'Termin lecția →'
atomic-learning.js	614	'Urmatorul pas →'	'Următorul pas →'
atomic-learning.js	614	'Raspunde ca sa mergi mai departe'	'Răspunde ca să mergi mai departe'
atomic-learning.js	666	Raspunde corect la intrebarile anterioare pentru a continua	Răspunde corect la întrebările anterioare pentru a continua
atomic-learning.js	751	'Spatiul de stocare	'Spațiul de stocare
atomic-learning.js	912	Raspunsul corect este marcat cu verde.	Răspunsul corect este marcat cu verde.
atomic-learning.js	1575	'Copiaza'	'Copiază'
atomic-learning.js	1667	Felicitari! Ai ordonat corect toti pasii! Continua sa inveti teoria.	Felicitări! Ai ordonat corect toți pașii! Continuă să înveți teoria.
atomic-learning.js	1668	Nu e chiar asa. Pasii marcati cu rosu sunt pe pozitii gresite. Mai incearca!	Nu e chiar așa. Pașii marcați cu roșu sunt pe poziții greșite. Mai încearcă!
evidence-system.js	158	'Spatiul de stocare	'Spațiul de stocare
instant-quiz.js	224	Felicitari!	Felicitări!
instant-quiz.js	225	Ai raspuns corect la ${correct} din ${total} intrebari. Poti continua!	Ai răspuns corect la ${correct} din ${total} întrebări. Poți continua!
instant-quiz.js	229	Mai incearca!	Mai încearcă!
instant-quiz.js	230	Ai raspuns corect	Ai răspuns corect
instant-quiz.js	231	Ai nevoie de cel putin	Ai nevoie de cel puțin
instant-quiz.js	231	raspunsuri corecte.	răspunsuri corecte.
instant-quiz.js	233	Poti schimba raspunsurile incorecte facand click pe alta optiune.	Poți schimba răspunsurile incorecte făcând click pe altă opțiune.
instant-quiz.js	324	'Incearca din nou.'	'Încearcă din nou.'
lesson-renderer.js	38	label: 'Invata'	label: 'Învață'
lesson-renderer.js	39	label: 'Exerseaza'	label: 'Exersează'
lesson-renderer.js	40	label: 'Testeaza'	label: 'Testează'
lesson-renderer.js	89	Eroare la incarcarea lectiei	Eroare la încărcarea lecției
lesson-renderer.js	92	Reincearca	Reîncearcă
lesson-renderer.js	217	Sectiune necunoscuta.	Secțiune necunoscută.
lesson-renderer.js	226	Informatii indisponibile.	Informații indisponibile.
lesson-renderer.js	230	De ce conteaza?	De ce contează?
lesson-renderer.js	233	Situatii din viata reala:	Situații din viața reală:
lesson-renderer.js	240	Continua ➡️	Continuă ➡️
lesson-renderer.js	252	Competente indisponibile.	Competențe indisponibile.
lesson-renderer.js	259	Ce vei putea sa faci?	Ce vei putea să faci?
lesson-renderer.js	272	Competente oficiale	Competențe oficiale
lesson-renderer.js	282	⬅️ Inapoi	⬅️ Înapoi
lesson-renderer.js	283	Continua ➡️	Continuă ➡️
lesson-renderer.js	295	Continut indisponibil.	Conținut indisponibil.
lesson-renderer.js	299	📚 Invata	📚 Învață
lesson-renderer.js	342	Cum gandeste profesorul:	Cum gândește profesorul:
lesson-renderer.js	356	Greseli frecvente:	Greșeli frecvente:
lesson-renderer.js	359	Greseala:	Greșeala:
lesson-renderer.js	360	Solutie:	Soluție:
lesson-renderer.js	367	⬅️ Inapoi	⬅️ Înapoi
lesson-renderer.js	368	Exerseaza ➡️	Exersează ➡️
lesson-renderer.js	379	Exercitii indisponibile.	Exerciții indisponibile.
lesson-renderer.js	395	Practica ghidata:	Practică ghidată:
lesson-renderer.js	421	Practica independenta (nivel	Practică independentă (nivel
lesson-renderer.js	425	Rezultat asteptat:	Rezultat așteptat:
lesson-renderer.js	432	⬅️ Inapoi	⬅️ Înapoi
lesson-renderer.js	447	pentru aceasta lectie.	pentru această lecție.
lesson-renderer.js	449	⬅️ Inapoi	⬅️ Înapoi
lesson-renderer.js	472	Verifica raspunsurile	Verifică răspunsurile
lesson-renderer.js	479	⬅️ Inapoi	⬅️ Înapoi
lesson-renderer.js	481	Marcheaza lectia ca terminata	Marchează lecția ca terminată
lesson-renderer.js	558	'Incearca din nou'	'Încearcă din nou'
lesson-renderer.js	581	Lectie completata!	Lecție completată!
lesson-summary.js	38	'Satisfacator'	'Satisfăcător'
lesson-summary.js	449	Progresul Tau	Progresul Tău
lesson-summary.js	454	raspunsuri corecte	răspunsuri corecte
lesson-summary.js	456	Continua pentru a strange cat mai multe puncte!	Continuă pentru a strânge cât mai multe puncte!
lesson-summary.js	464	Invatare Atomica	Învățare Atomică
lesson-summary.js	477	Completeaza toate sectiunile de invatare atomica pentru a vedea nota finala.	Completează toate secțiunile de învățare atomică pentru a vedea nota finală.
lesson-summary.js	485	Rezumatul Lectiei	Rezumatul Lecției
lesson-summary.js	492	(practica)	(practică)
lesson-summary.js	496	Nota finala va fi confirmata de profesor dupa evaluarea raspunsurilor scrise	Nota finală va fi confirmată de profesor după evaluarea răspunsurilor scrise
lesson-summary.js	505	Invatare Atomica	Învățare Atomică
lesson-summary.js	512	nota automata	notă automată
lesson-summary.js	520	Practica Avansata	Practică Avansată
lesson-summary.js	528	necesita evaluare profesor	necesită evaluare profesor
lesson-summary.js	529	} in curs =	} în curs =
lesson-summary.js	536	Lectia completa!	Lecția completă!
lesson-summary.js	536	Poti continua la urmatoarea lectie.	Poți continua la următoarea lecție.
lesson-summary.js	536	reia lectia pentru o nota mai buna.	reia lecția pentru o notă mai bună.
lesson-summary.js	540	Practica disponibila:	Practică disponibilă:
lesson-summary.js	540	Completeaza exercitiile practice pentru pana la 3 puncte in plus!	Completează exercițiile practice pentru până la 3 puncte în plus!
lesson-summary.js	547	Pas urmator:	Pas următor:
lesson-summary.js	547	Descarca fisierul JSON si trimite-l profesorului pentru evaluarea finala a raspunsurilor scrise.	Descarcă fișierul JSON și trimite-l profesorului pentru evaluarea finală a răspunsurilor scrise.
lesson-summary.js	549	Descarca progresul (JSON)	Descarcă progresul (JSON)
lesson-summary.js	556	Descarca progresul (JSON)	Descarcă progresul (JSON)
lesson-summary.js	963	Incearca din nou.	Încearcă din nou.
media-popup.js	147	Continut in curand	Conținut în curând
media-popup.js	148	Acest continut vizual va fi adaugat in curand.	Acest conținut vizual va fi adăugat în curând.
practice-advanced.js	381	>Sinteza<	>Sinteză<
practice-advanced.js	422	>Verifica<	>Verifică<
practice-advanced.js	478	Completeaza Schema	Completează Schema
practice-advanced.js	489	>Verifica<	>Verifică<
practice-advanced.js	500	Raspuns Scris	Răspuns Scris
practice-advanced.js	505	raspunde in propriile tale cuvinte:	răspunde în propriile tale cuvinte:
practice-advanced.js	510	pentru raspuns complet:	pentru răspuns complet:
practice-advanced.js	517	Scrie raspunsul tau aici...	Scrie răspunsul tău aici...
practice-advanced.js	524	Trimite raspunsul	Trimite răspunsul
practice-advanced.js	633	Raspuns complet si detaliat.	Răspuns complet și detaliat.
practice-advanced.js	639	Raspunsul tau este acceptat dar incomplet. Ai mentionat	Răspunsul tău este acceptat dar incomplet. Ai menționat
practice-advanced.js	695	'Raspunsul corect este marcat cu verde.'	'Răspunsul corect este marcat cu verde.'
practice-advanced.js	751	'Varianta corecta este marcata cu verde.'	'Varianta corectă este marcată cu verde.'
practice-advanced.js	943	Toate elementele sunt in categoria corecta.	Toate elementele sunt în categoria corectă.
practice-advanced.js	992	Schema este completa si corecta.	Schema este completă și corectă.
practice-advanced.js	1026	 exercitii`	 exerciții`
